14,Jan,Beneš,10,2.C
16,Alžběta,Beneš,11,1.C
68,Veronika,Beneš,12,2.A
35,Filip,Dvořák,9,4.A
45,Šimon,Dvořák,9,6.A
48,Filip,Dvořák,13,5.A
57,Barbora,Dvořák,13,1.A
61,Tomáš,Dvořák,10,7.A
65,Lucie,Dvořák,9,4.B
78,Tereza,Dvořák,8,5.A
2,David,Havlíčková,14,7.C
15,David,Havlíčková,14,6.A
34,Tereza,Havlíčková,8,2.B
36,Lucie,Havlíčková,11,2.A
98,David,Havlíčková,9,3.B
7,Alžběta,Horák,8,8.B
10,Ondřej,Horák,8,8.B
12,Ondřej,Horák,14,6.B
18,Lucie,Horák,12,5.B
25,Adéla,Horák,10,3.B
38,Lucie,Horák,12,2.A
5,Adéla,Hrubý,10,8.A
6,Anna,Hrubý,13,7.A
24,Kateřina,Hrubý,12,8.C
29,Anna,Hrubý,14,5.C
30,Veronika,Hrubý,12,1.A
58,Eliška,Hrubý,8,1.C
64,Tomáš,Hrubý,10,3.C
72,Barbora,Hrubý,13,4.C
73,Anna,Hrubý,9,3.C
75,Alžběta,Hrubý,8,8.B
27,Tereza,Kolář,14,2.B
40,Jan,Kolář,14,8.B
51,David,Kolář,14,3.B
99,Adéla,Kolář,12,7.A
22,Ondřej,Kovařík,8,3.B
53,Ondřej,Kovařík,11,7.A
80,Tomáš,Kovařík,11,8.C
81,Lucie,Kovařík,13,5.B
95,Tomáš,Kovařík,10,7.A
100,Tereza,Kovařík,11,4.A
13,Eliška,Králová,12,5.C
31,Tereza,Králová,11,7.B
69,Ondřej,Králová,8,8.C
71,Filip,Králová,14,1.C
32,Adéla,Kučerová,11,1.B
54,Tereza,Kučerová,8,3.B
66,Tereza,Kučerová,13,7.B
74,Šimon,Kučerová,13,5.A
26,Matěj,Malá,10,2.B
28,Alžběta,Malá,10,7.A
33,Alžběta,Malá,14,2.A
37,Ondřej,Malá,10,5.B
79,Matěj,Malá,11,7.C
90,Alžběta,Malá,14,3.C
11,Tomáš,Novák,8,4.B
50,Tereza,Novák,10,5.A
70,Matěj,Novák,9,4.C
87,Jakub,Novák,10,2.B
94,Anna,Novák,10,3.A
97,Šimon,Novák,14,7.C
19,Tereza,Pospíšilová,14,8.B
55,Barbora,Pospíšilová,8,8.C
60,Šimon,Pospíšilová,14,1.B
82,Nikola,Pospíšilová,9,2.B
93,Barbora,Pospíšilová,10,5.B
96,Tereza,Pospíšilová,14,6.B
8,David,Procházka,9,2.A
39,Daniel,Procházka,9,3.A
46,Kateřina,Procházka,10,6.A
52,Adéla,Procházka,9,5.C
62,Ondřej,Procházka,8,7.A
76,Adéla,Procházka,8,3.A
77,Ondřej,Procházka,10,4.B
92,Alžběta,Procházka,9,8.C
1,Kateřina,Sedláček,11,1.B
23,Daniel,Sedláček,12,5.C
17,Adéla,Slavíček,14,6.B
84,Filip,Slavíček,11,5.C
3,Tereza,Svobodová,11,5.B
44,Barbora,Svobodová,9,1.A
83,Jakub,Svobodová,13,5.A
9,Matěj,Urban,9,5.C
20,David,Urban,8,4.A
42,Tomáš,Urban,12,5.C
49,Alžběta,Urban,9,3.C
88,Filip,Urban,8,7.A
21,David,Veselá,11,4.B
43,Anna,Veselá,14,8.A
47,Nikola,Veselá,12,4.A
67,Jakub,Veselá,11,6.C
86,Alžběta,Veselá,8,1.C
89,Alžběta,Veselá,14,2.A
91,Petr,Veselá,9,5.C
4,Jan,Vávrová,11,6.A
41,Alžběta,Vávrová,11,7.C
63,Kateřina,Vávrová,11,4.A
85,Nikola,Vávrová,13,5.C
56,Petr,Říhová,14,4.B
